ds,yhat,yhat_lower,yhat_upper,Volume
2025-12-29 19:30:00,1.8859,1.87656875025301,1.895661632365097,
2025-12-29 20:00:00,1.8862,1.876032426511287,1.89676402439148,
2025-12-29 20:30:00,1.8863,1.8760562414052122,1.897818994909045,
2025-12-29 21:00:00,1.8861,1.8742439434120763,1.898176956322206,
2025-12-29 21:30:00,1.8856,1.8720587330731027,1.8996511973246464,
2025-12-29 22:00:00,1.8846,1.8691441035427205,1.9007902140366506,
2025-12-29 22:30:00,1.8832,1.8627699203828023,1.9033543189154858,
2025-12-29 23:00:00,1.8812,1.8562294747003756,1.9032450475182319,
2025-12-29 23:30:00,1.8787,1.85173203605989,1.9064142537093884,
2025-12-30 00:00:00,1.8754,1.8419988900975084,1.9069126355910504,
2025-12-30 00:30:00,1.8715,1.834582339514784,1.9076746226617562,
2025-12-30 01:00:00,1.8667,1.8237431671226196,1.9091208753526672,
2025-12-30 01:30:00,1.861,1.811554790104139,1.9062977645013643,
2025-12-30 02:00:00,1.8544,1.7996853499113978,1.9065226575700338,
2025-12-30 02:30:00,1.8468,1.7865238886298023,1.904023279049325,
2025-12-30 03:00:00,1.8452,1.769809664772312,1.9025431452638022,
2025-12-30 03:30:00,1.8452,1.7545382271041676,1.895005105616429,
2025-12-30 04:00:00,1.8452,1.7344717603639723,1.8912793207741914,
2025-12-30 04:30:00,1.8452,1.7154910557706344,1.8865678036526354,
2025-12-30 05:00:00,1.8452,1.694872134471304,1.880266226519041,
2025-12-30 05:30:00,1.8452,1.6725440502593953,1.8711860420895714,
2025-12-30 06:00:00,1.8452,1.6488765054675716,1.8584586355178065,
2025-12-30 06:30:00,1.8452,1.6221367381074958,1.8449937769098428,
2025-12-30 07:00:00,1.8452,1.5945876089321283,1.8325727800932032,
2025-12-30 07:30:00,1.8452,1.572510094553934,1.8139870072586368,
2025-12-30 08:00:00,1.8452,1.5365778245646,1.7974890762538538,
2025-12-30 08:30:00,1.8452,1.506962255506759,1.7769084863901359,
2025-12-30 09:00:00,1.8452,1.4783365265903472,1.7584352014971998,
2025-12-30 09:30:00,1.8452,1.4451577316736866,1.7323689438748633,
2025-12-30 10:00:00,1.8452,1.40588485793322,1.7087885398924223,
2025-12-30 10:30:00,1.8452,1.3687877168595735,1.6778601741443537,
2025-12-30 11:00:00,1.8452,1.3263361030248102,1.6486510904818619,
2025-12-30 11:30:00,1.8452,1.288918728494985,1.6136412254449977,
2025-12-30 12:00:00,1.8452,1.246994085994774,1.5795553118952845,
2025-12-30 12:30:00,1.8452,1.2033858068759147,1.5424125499955983,
2025-12-30 13:00:00,1.8452,1.16035260344279,1.5008862784984698,
2025-12-30 13:30:00,1.8452,1.1139995535538783,1.4541300228021228,
2025-12-30 14:00:00,1.8452,1.068674634413825,1.4117078997628782,
2025-12-30 14:30:00,1.8452,1.0150376956357197,1.3638306180617255,
2025-12-30 15:00:00,1.8452,0.9695613102161382,1.3107004925282602,
2025-12-30 15:30:00,1.8452,0.9161248200569284,1.2523496219812291,
2025-12-30 16:00:00,1.8452,0.8642259491725063,1.1941542961628848,
2025-12-30 16:30:00,1.8452,0.8062787401624517,1.1311390428159005,
2025-12-30 17:00:00,1.8452,0.7479456623309061,1.066122969551118,
2025-12-30 17:30:00,1.8452,0.6923304551384485,1.0015166042338122,
2025-12-30 18:00:00,1.8452,0.6421273431916059,0.9280783448051947,
2025-12-30 18:30:00,1.8452,0.5771005867442532,0.8532389845481524,
2025-12-30 19:00:00,1.8452,0.5213106365146973,0.776389379621999,
